TABLE,x,x_0,UB,$f(x)$ Coeffs,,,
D2G,40,100,200,1,,,
D5G,43.8812,30,60,1,,,
I2G,0.5,0.5,1,1,,,
I5G,0.5,0.8,1,1,,,
P2G,8,4,8,1,,,
P5G,8,3,8,1,,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-2.7908,23,active-set,170,0.023958,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.010744,,,,,,,
8.8155e-07,,,,,,,
1,,,,,,,
1,,,,,,,
-0.0875,,,,,,,
-0.15392,,,,,,,
,,,,,,,
