TABLE,x,x_0,UB,$f(x)$ Coeffs,,,
D2G,62.9764,100,200,1,,,
D5G,20,30,60,1,,,
I2G,1,0.5,1,1,,,
I5G,1,0.8,1,1,,,
P2G,0,4,8,1,,,
P5G,0,3,8,1,,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.697,85,active-set,602,0.51581,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.010298,,,,,,,
0.00084224,,,,,,,
-1.2362,,,,,,,
-1.1933,,,,,,,
0.08564,,,,,,,
0.083333,,,,,,,
,,,,,,,
