TABLE,x,x_0,UB,$f(x)$ Coeffs,,,
D2G,40,100,200,1,,,
D5G,43.8989,30,60,1,,,
I2G,0,0.5,1,1,,,
I5G,0,0.8,1,1,,,
P2G,8,4,8,1,,,
P5G,8,3,8,1,,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-3.7908,25,active-set,177,0.017903,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.010744,,,,,,,
3.7891e-05,,,,,,,
1,,,,,,,
1,,,,,,,
-0.15,,,,,,,
-0.21646,,,,,,,
,,,,,,,
