TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,67.6602,100,200,40,1,,
D5G,26.489,30,60,20,1,,
I2G,1,0.5,1,0.5,1,,
I5G,1,0.8,1,0.5,1,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.5049,85,active-set,602,0.46048,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.0090579,,,,,,,
-0.00018793,,,,,,,
-1.109,,,,,,,
-1.0598,,,,,,,
0.067087,,,,,,,
0.05419,,,,,,,
,,,,,,,
