TABLE,x,x_0,UB,$f(x)$ Coeffs,,,
D2G,200,100,200,1,,,
D5G,60,30,60,1,,,
I2G,1,0.5,1,1,,,
I5G,1,0.8,1,1,,,
P2G,8,4,8,1,,,
P5G,8,3,8,1,,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-451.1878,7,active-set,56,15.1473,true,false,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
-1.9381,,,,,,,
-4.1271,,,,,,,
-1.5556,,,,,,,
-0.12492,,,,,,,
-25,,,,,,,
-7.5,,,,,,,
,,,,,,,
