TABLE,x,x_0,UB,$f(x)$ Coeffs,,,
D2G,159.7697,100,200,1,,,
D5G,43.8928,30,60,1,,,
I2G,1,0.5,1,1,,,
I5G,1,0.8,1,1,,,
P2G,8,4,8,1,,,
P5G,8,3,8,1,,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-6.9733,22,active-set,156,0.012194,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
1.358e-07,,,,,,,
2.516e-05,,,,,,,
-1,,,,,,,
-1,,,,,,,
-0.34986,,,,,,,
-0.34144,,,,,,,
,,,,,,,
