TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,134.8507,100,200,40,0.1,,
D5G,41.4431,30,60,20,0.5,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0.5,,
P2G,8,4,8,1,0.1,,
P5G,8,3,8,1,0.5,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.0261,25,active-set,177,0.01698,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
7.6997e-07,,,,,,,
7.5162e-06,,,,,,,
-0.45972,,,,,,,
-0.45084,,,,,,,
-0.017141,,,,,,,
-0.01817,,,,,,,
,,,,,,,
