TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,160.8977,100,200,40,0.1,,
D5G,48.4748,30,60,20,0.5,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0.1,,
P2G,8,4,8,1,0.1,,
P5G,8,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.7795,27,active-set,191,0.085531,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
-9.8389e-06,,,,,,,
9.4061e-06,,,,,,,
-0.37767,,,,,,,
-0.38161,,,,,,,
-0.075561,,,,,,,
-0.075989,,,,,,,
,,,,,,,
