TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,89.164,100,200,40,0.1,,
D5G,20,30,60,20,0.1,,
I2G,1,0.5,1,0.5,0.5,,
I5G,1,0.8,1,0.5,0.1,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
0.23097,85,active-set,602,0.14812,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.0029571,,,,,,,
0.020757,,,,,,,
-0.10937,,,,,,,
-0.10683,,,,,,,
0.081772,,,,,,,
0.095833,,,,,,,
,,,,,,,
