TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,100.0692,100,200,40,0.1,,
D5G,30.1782,30,60,20,0.5,,
I2G,1,0.5,1,0.5,0,,
I5G,1,0.8,1,0.5,0.1,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-0.81637,5,active-set,35,0.00056998,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
6.3001e-05,,,,,,,
-0.00058037,,,,,,,
-0.59048,,,,,,,
-0.57548,,,,,,,
0.074957,,,,,,,
0.074629,,,,,,,
,,,,,,,
