TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,200,100,200,40,0.1,,
D5G,60,30,60,20,0.1,,
I2G,0.5,0.5,1,0.5,0.1,,
I5G,0.5,0.8,1,0.5,0.1,,
P2G,8,4,8,1,0.1,,
P5G,8,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.4774,23,active-set,161,0,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
-0.0031268,,,,,,,
-0.0088996,,,,,,,
0.075,,,,,,,
0.08,,,,,,,
-0.10625,,,,,,,
-0.10625,,,,,,,
,,,,,,,
