TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,97.2964,100,200,40,0.1,,
D5G,20,30,60,20,0.5,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0.1,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-0.74858,7,active-set,49,0.0006786,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.00064449,,,,,,,
0.002889,,,,,,,
-0.59231,,,,,,,
-0.58413,,,,,,,
0.07669,,,,,,,
0.095833,,,,,,,
,,,,,,,
