TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,40,100,200,40,0.1,,
D5G,20,30,60,20,1,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0.1,,
P2G,1,4,8,1,0.1,,
P5G,1,3,8,1,0.1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
-1.9431,12,active-set,84,0,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.0017014,,,,,,,
0.0051851,,,,,,,
-1.2308,,,,,,,
-1.1808,,,,,,,
0.0225,,,,,,,
0.020833,,,,,,,
,,,,,,,
