TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,99.627,100,200,40,0.1,,
D5G,24.4159,30,60,20,0.1,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
0.042345,85,active-set,602,0.090401,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.00013437,,,,,,,
0.001791,,,,,,,
-0.10816,,,,,,,
-0.10633,,,,,,,
0.075233,,,,,,,
0.086634,,,,,,,
,,,,,,,
