TABLE,x,x_0,UB,LB,$f(x)$ Coeffs,,
D2G,97.8602,100,200,40,0.1,,
D5G,20,30,60,20,0.1,,
I2G,1,0.5,1,0.5,0.1,,
I5G,1,0.8,1,0.5,0.1,,
P2G,1,4,8,1,1,,
P5G,1,3,8,1,0.1,,
,,,,,,,
F-value,Iterations,Algorithm,FuncCount,StepSize,H >= 0,H > 0 ,
0.12519,62,active-set,434,0.0007286,true,true,
,,,,,,,
,Chunk Size 2G,Chunk Size 5G,,,,,
,1024,2048,,,,,
Grad,,,,,,,
0.00070084,,,,,,,
0.0044271,,,,,,,
-0.10839,,,,,,,
-0.10683,,,,,,,
0.13138,,,,,,,
0.13333,,,,,,,
,,,,,,,
